block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
1,846,22,0.8636,1.0,1.0,0.2613,2.6207,9.4893,0.2758,2.5107
1,1330,146,1.0,1.0,1.0,0.32,1.8507,10.2895,0.4441,2.5054
1,1429,84,0.6548,0.8571,0.5119,0.2586,2.0664,9.8548,0.9077,2.8032
1,1825,406,0.0813,0.5468,0.0616,0.1914,2.2309,9.7788,0.945,2.6171
1,1897,23,0.087,0.6957,0.913,0.2301,2.7822,7.9788,0.7009,2.4641
1,2023,37,0.9459,1.0,1.0,0.339,2.8178,10.1048,0.5209,2.4817
1,2325,27,0.8148,0.963,1.0,0.3,3.0,9.8101,0.7459,2.6525
1,2730,59,0.4746,0.4407,0.1356,0.1879,2.5658,7.5727,0.9112,2.5109
1,2734,46,0.9348,0.9565,1.0,0.2529,2.0478,8.6997,0.4253,2.3512
1,2849,20,0.8,1.0,0.95,0.2712,2.812,9.0944,0.4645,2.8118
1,3020,123,0.2927,0.5854,0.4309,0.2036,1.6897,10.957,0.8979,2.9136
2,14,44,0.7955,1.0,1.0,0.3148,2.9632,9.1195,0.6669,2.555
2,352,27,0.1481,0.7037,0.2963,0.2104,1.7028,10.2672,0.8979,2.7694
2,589,23,0.0,0.0,0.0435,0.0968,-1.8837,8.2021,0.8773,3.866
2,676,257,0.0934,0.2023,0.323,0.1513,1.0982,10.2505,0.972,2.6579
2,783,88,0.0795,0.1818,0.625,0.1461,2.743,10.6384,0.855,3.7043
2,1227,33,0.5455,0.9091,0.5758,0.281,2.9402,8.6728,0.5022,2.704
2,1344,61,1.0,1.0,1.0,0.3275,2.2638,9.5214,0.3889,3.7532
2,1417,45,0.6667,1.0,0.8889,0.3392,2.6817,11.561,0.6774,2.7058
2,2617,34,0.0882,0.0,0.2353,0.1146,2.4763,8.1753,0.8773,3.298
2,2714,277,0.0,0.0,0.0,0.0997,2.9284,8.628,0.9448,4.2365
2,2830,255,0.1333,0.7529,0.051,0.2196,2.4163,9.5422,0.9654,2.7743
3,46,84,0.2143,0.9405,0.9524,0.2836,2.8241,9.9852,0.5543,3.1701
3,146,31,0.4516,0.1613,1.0,0.1056,1.81,11.4171,0.5244,3.8781
3,548,60,1.0,1.0,1.0,0.2406,1.2308,13.0768,0.8299,3.7417
3,614,166,0.0,0.0,0.0241,0.1107,2.9048,8.5838,0.9358,3.7822
3,1395,57,0.0351,0.2281,0.0877,0.1494,1.9357,10.7624,0.9193,2.9536
3,1545,46,0.0,0.0,0.0,0.0959,2.9748,7.4867,0.8174,3.0326
3,2053,47,0.383,0.766,1.0,0.1932,2.4351,12.5322,0.7105,4.3306
3,2600,48,1.0,1.0,1.0,0.3227,1.5413,12.7314,0.3354,3.7506
3,2614,33,0.1212,0.0606,0.4545,0.1147,2.4963,8.0934,0.7745,2.609
4,364,23,1.0,1.0,1.0,0.3833,2.5863,10.6344,0.4096,3.2871
5,464,232,0.7759,0.9655,1.0,0.2548,1.6978,13.2309,0.606,3.8767
5,665,32,0.9688,1.0,1.0,0.2944,2.9178,10.7718,0.4375,3.4501
5,688,38,1.0,1.0,1.0,0.4425,2.2427,14.4145,0.5034,3.5493
5,1371,50,1.0,1.0,1.0,0.3113,1.7537,11.0515,0.6795,4.0775
5,1790,132,0.0,0.0,0.0455,0.1242,2.8628,7.3728,0.7915,2.812
