block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
8,197,20,1.0,1.0,1.0,0.321,1.2872,27.5383,0.171,5.1239
8,435,121,0.9669,1.0,1.0,0.2672,1.4318,36.0445,0.2515,5.1611
8,491,20,1.0,1.0,1.0,0.3782,1.4334,28.6579,0.3023,4.8456
8,569,23,0.4348,1.0,1.0,0.1754,2.0004,24.1616,0.211,4.7134
8,668,42,0.5476,0.9524,1.0,0.1912,2.0675,24.8651,0.4192,4.8621
8,716,27,1.0,1.0,1.0,0.2676,0.8376,29.7658,0.1944,4.6509
8,717,25,0.64,1.0,1.0,0.2465,1.122,34.0829,0.2735,5.2096
8,802,28,0.1071,0.1429,1.0,0.1144,2.7164,17.4774,0.3878,5.699
8,1188,309,0.0,0.0032,1.0,0.2246,2.912,24.2418,0.8383,4.25
8,1215,50,0.3,1.0,1.0,0.2712,1.4039,43.0238,0.3423,5.2669
8,1524,218,0.1468,0.3486,1.0,0.1376,0.6945,31.3234,0.2937,5.6153
9,237,64,0.2969,0.9844,1.0,0.1627,1.6699,28.6833,0.3227,5.1747
9,359,27,0.3333,0.5185,1.0,0.1089,1.2705,31.2445,0.2776,5.5312
9,773,51,0.0196,0.0,1.0,0.1188,0.3934,30.3147,0.4332,4.4112
9,845,48,0.2292,0.4583,1.0,0.1241,1.0263,25.475,0.1848,5.5189
9,868,48,0.0,0.0,1.0,0.0928,3.0,17.2829,0.6028,5.4912
9,1066,22,0.2727,0.9545,1.0,0.1997,2.4465,22.6531,0.4205,4.9181
9,1095,37,1.0,1.0,1.0,0.3684,1.4352,34.2765,0.2696,4.9472
9,1183,22,0.9091,0.8636,1.0,0.2008,1.7456,26.0696,0.2353,4.8595
9,1372,25,0.84,0.96,1.0,0.1881,1.602,19.5668,0.2616,5.2728
10,222,108,0.463,1.0,1.0,0.4936,-0.6463,32.2459,0.9082,4.8213
10,317,134,0.8731,0.9627,1.0,0.1706,1.3834,31.068,0.333,4.5754
10,486,29,0.069,0.0,1.0,0.0526,2.018,21.1537,0.3756,4.8781
11,127,98,0.3776,0.6939,1.0,0.1577,1.1827,25.664,0.7816,6.1327
11,621,27,0.1481,0.1852,1.0,0.1299,0.7502,15.929,0.3327,4.6486
11,709,51,0.3333,0.6078,1.0,0.1439,1.8434,22.8323,0.3127,4.8557
11,789,26,0.1538,0.5769,1.0,0.1145,2.9969,22.2329,0.6373,5.0631
11,1278,106,0.8208,0.9623,1.0,0.2448,0.5186,48.3312,0.21,6.4599
